"Question","Correct Answer","Wrong Answer 1","Wrong Answer 2","Wrong Answer 3","Wrong Answer 4","Wrong Answer 5"
"Quelle est la première étape de la construction européenne en 1951 ? [GS]","La CECA (Charbon et Acier)","L'Euro","L'Espace Schengen","L'OTAN","La PAC","Erasmus"
"Qui était une figure de la Résistance française pendant la Seconde Guerre mondiale ?","Charles de Gaulle ","Le Maréchal Pétain","Napoléon","Louis XIV","Jules Ferry","Victor Hugo"
"Le 11 novembre est un jour férié. À quoi correspond cette date ?","Fin de la Première Guerre mondiale ","Début de la guerre","Fête nationale","Mort du roi","Victoire 1945","Fête du travail"
"Depuis quand l'esclavage a-t-il été aboli en France ?","1848 ","1789","1945","1905","2000","1600"
"Qui a aboli l'esclavage en France ? [GS]","Victor Schoelcher","Jules Ferry","Napoléon","De Gaulle","Louis XIV","Voltaire"
"Depuis quelle année l'école publique est-elle gratuite ?","Années 1880 ","1950","2000","1789","1905","1936"
"En 1944, qu'est-ce qui a changé pour les femmes ? [GS]","Elles ont obtenu le droit de vote","Elles ont pu porter des pantalons","Elles ont pu travailler","Elles ont pu aller à l'école","Elles ont pu conduire","Elles ont pu être maire"
"Quelle organisation a été créée en 1945 après la Seconde Guerre mondiale ?","L'ONU ","L'OTAN","L'UE","La SDN","Le G7","L'OMC"
"En quelle année l'euro est-il devenu la monnaie officielle de la France ?","2000 (monnaie unique partagée) / 2002 (fiduciaire) ","1992","1957","2010","1981","1945"
"Lors de la seconde guerre mondiale, à quelle date la ville de Paris a-t-elle été libérée ? [GS]","Août 1944","Juin 1940","Mai 1945","Novembre 1918","Juillet 1789","Septembre 1939"
"Quel était le principal port français impliqué dans la traite négrière au XVIIIe siècle ? [GS]","Nantes","Marseille","Bordeaux","Le Havre","La Rochelle","Saint-Malo"
"Quel célèbre philosophe des Lumières a dénoncé l'esclavage ?","Voltaire (ou Rousseau, Diderot) ","Descartes","Sartre","Platon","Marx","Freud"
"Quelle œuvre a été écrite par Victor Hugo ?","Les Misérables ","L'Avare","L'Étranger","Le Petit Prince","Les Fleurs du Mal","Madame Bovary"
"Quel peintre est français ?","Marc Chagall (naturalisé) ","Picasso","Van Gogh","Leonard de Vinci","Michel-Ange","Rembrandt"
"Quel plat est une spécialité de la cuisine française ? [GS]","Le pot-au-feu","La pizza","Le couscous","Le hamburger","Les sushis","La paella"
"Qui était Marie Curie ?","Physicienne (découverte de la radioactivité) ","Une écrivaine","Une reine","Une chanteuse","Une sportive","Une actrice"
"Qui a peint La liberté guidant le peuple ? [GS]","Eugène Delacroix","Monet","Renoir","Picasso","Dali","Matisse"
"Dans quel grand musée parisien est exposée la Joconde ? [GS]","Le Louvre","Le musée d'Orsay","Le Centre Pompidou","Le musée Rodin","Le musée Grévin","Le Quai Branly"
"Quel château célèbre se trouve près de Paris et symbolise le pouvoir royal de Louis XIV ?","Château de Versailles ","Château de la Loire","Château de Chambord","Fort Boyard","Mont-Saint-Michel","Carcassonne"
"Où peut-on voir des peintures préhistoriques en France ?","Grotte de Lascaux ","Tour Eiffel","Louvre","Arc de Triomphe","Notre-Dame","Stade de France"
"Quel peintre célèbre a peint les Nymphéas ? [GS]","Claude Monet","Picasso","Renoir","Degas","Manet","Gauguin"
"Pendant quelles journées peut-on visiter gratuitement des lieux culturels en France ? [GS]","Les Journées européennes du patrimoine","La Fête de la musique","Le 14 juillet","Noël","Pâques","La Saint-Valentin"
"Que symbolise le 1er mai ? [GS]","La fête du travail","La fête des mères","La victoire de 1945","Le printemps","La musique","L'Europe"
"Qui était Monsieur Rouget de Lisle ? [GS]","L'auteur de La Marseillaise","Un roi","Un général","Un ministre","Un peintre","Un sculpteur"
"À quelle occasion a été construite la Tour Eiffel ?","Exposition universelle de 1889 ","Révolution de 1789","Guerre de 1914","JO de 1924","Victoire de Napoléon","Naissance de la République"
"Quelle chaîne de montagnes est située entre la France et l'Italie ?","Les Alpes ","Les Pyrénées","Le Massif Central","Le Jura","Les Vosges","L'Himalaya"
"Qui était Molière ?","Le plus célèbre auteur de théâtre français ","Un roi","Un poète","Un philosophe","Un musicien","Un peintre"
"Qui était Charles Baudelaire ? [GS]","Un poète","Un peintre","Un roi","Un général","Un ministre","Un architecte"
"Qui était George Sand ? [GS]","Une écrivaine","Une reine","Une scientifique","Une chanteuse","Une résistante","Une sportive"
"Qui était Simone de Beauvoir ? [GS]","Une philosophe et écrivaine","Une actrice","Une reine","Une scientifique","Une sportive","Une politicienne"
"Qui était Albert Camus ? [GS]","Un écrivain","Un chanteur","Un acteur","Un peintre","Un roi","Un sportif"
"Qui était Marguerite Yourcenar ? [GS]","Une femme de lettres","Une reine","Une chanteuse","Une scientifique","Une sportive","Une actrice"
"Qui était Paul Cézanne ? [GS]","Un peintre","Un écrivain","Un musicien","Un roi","Un ministre","Un sculpteur"
"Qui était Auguste Rodin ? [GS]","Un sculpteur","Un peintre","Un écrivain","Un musicien","Un roi","Un architecte"
"Qui était un célèbre compositeur français ? [GS]","Maurice Ravel","Beethoven","Mozart","Bach","Vivaldi","Verdi"
"Qui était Auguste Renoir ? [GS]","Un peintre","Un sculpteur","Un écrivain","Un roi","Un général","Un chanteur"
"Quel musée est situé à Paris ? [GS]","Le musée d'Orsay","Le musée du Prado","Le British Museum","Le MOMA","Le musée Guggenheim","Le musée de l'Ermitage"
"Quel monument historique se trouve sur une ile en Normandie ?","Le Mont-Saint-Michel ","Le Château d'If","Fort Boyard","La Tour Eiffel","Notre-Dame","L'Arc de Triomphe"
"Quelle ville française fait partie des 10 plus grandes métropoles du pays ?","Bordeaux ","Deauville","Cannes","Saint-Tropez","Lourdes","Biarritz"
"Quelle ile fait partie des Antilles françaises ?","La Martinique (ou Guadeloupe) ","La Corse","La Réunion","Tahiti","Majorque","Ibiza"
"Quelle ile est française ?","La Corse ","La Sardaigne","La Sicile","Malte","Chypre","Crète"
"Quelle est la plus haute montagne de France ?","Le Mont-Blanc ","Le Pic du Midi","Le Canigou","La Meije","L'Etna","L'Everest"
"Quelle ile française est située dans l'océan Indien ?","La Réunion (ou Mayotte) ","La Guadeloupe","La Martinique","Tahiti","La Corse","Saint-Pierre-et-Miquelon"
"Quel département français a une frontière avec le Brésil ?","La Guyane ","La Guadeloupe","La Martinique","La Réunion","Mayotte","Paris"
"De quelle ville française décolle la fusée Ariane ? [GS]","Kourou (Guyane)","Paris","Toulouse","Marseille","Bordeaux","Lyon"
"Quelle mer ou océan borde la France métropolitaine ? [GS]","L'Océan Atlantique","L'Océan Indien","L'Océan Pacifique","La Mer Noire","La Mer Rouge","La Mer Morte"
"Quelle mer se situe entre la France et l’Angleterre ? [GS]","La Manche","La Méditerranée","L'Atlantique","La Mer du Nord","La Baltique","La Caspienne"
"Quelle ile est un département d'outre-mer français ?","Mayotte ","Madagascar","Cuba","Haïti","Ibiza","La Sicile"
"Qu'est-ce que la France d'outre-mer ?","Des départements et territoires situés hors métropole ","Des pays étrangers","Des anciennes colonies indépendantes","Des bases militaires","Des îles touristiques uniquement","Des pays voisins"
"Quelle est la population approximative de la France en 2025 ?","67,4 millions d'habitants (chiffre 2021) ","100 millions","30 millions","500 millions","10 millions","200 millions"
"Quel est le principal port maritime de France ? [GS]","Marseille (ou Le Havre)","Paris","Lyon","Strasbourg","Lille","Toulouse"
"Combien y a-t-il de régions en France métropolitaine ?","13 régions ","22 régions","10 régions","5 régions","50 régions","96 régions"
"Quelle chaîne de montagnes est située entre la France et l'Espagne ? [GS]","Les Pyrénées","Les Alpes","Le Jura","Les Vosges","Le Massif Central","Les Carpates"
"Quelle ile française se trouve au sud-est du continent africain ?","La Réunion (ou Mayotte) ","La Guadeloupe","La Martinique","Saint-Pierre-et-Miquelon","La Corse","Tahiti"
"Quel est le chef-lieu de la région Auvergne-Rhône-Alpes ?","Lyon ","Grenoble","Saint-Etienne","Clermont-Ferrand","Annecy","Valence"
"Quel est le chef-lieu de la région Bretagne ?","Rennes ","Brest","Quimper","Lorient","Vannes","Saint-Malo"
"Quel est le chef-lieu de la région Provence-Alpes-Côte d'Azur ?","Marseille ","Nice","Toulon","Avignon","Aix-en-Provence","Cannes"
"Quel est le 101ème département français depuis 2011 ?","Mayotte ","Tahiti","Nouvelle-Calédonie","Saint-Martin","Guyane","Corse"
"Quelle région française est réputée pour ses stations de ski ? [GS]","Auvergne-Rhône-Alpes","Bretagne","Normandie","Centre-Val de Loire","Pays de la Loire","Ile-de-France"
"Quel fleuve traverse Paris ?","La Seine ","La Loire","Le Rhône","La Garonne","Le Rhin","La Tamise"
"Où faut-il déclarer la naissance d'un enfant ?","À la mairie ","À l'hôpital uniquement","Au commissariat","À la préfecture","À l'église","Sur internet"
"Quelle action peut réaliser le locataire d'un logement sans l'autorisation du propriétaire ? [GS]","Des petits aménagements (décoration)","Abattre une cloison","Changer la destination des lieux","Sous-louer","Ne pas payer le loyer","Changer les serrures sans donner la clé"
"Quel mariage est reconnu légalement ?","Le mariage en mairie ","Le mariage religieux uniquement","Le concubinage","Le PACS","Les fiançailles","L'union libre"
"Le stationnement sur une place réservée aux personnes handicapées : [GS]","Est interdit sauf titulaire de la carte","Est autorisé pour 5 minutes","Est autorisé le dimanche","Est autorisé si on reste dans la voiture","Est autorisé si le parking est plein","Est autorisé la nuit"
"Si une machine à laver est cassée, il est possible de : [GS]","Demander la réparation au propriétaire (si meublé/vétusté)","Ne plus payer le loyer","La jeter dans la rue","Déménager sans préavis","La réparer et déduire du loyer sans accord","Porter plainte à la police"
"Dans quel cas faut-il déclarer son enfant au service d'état civil ?","À la naissance ","À ses 18 ans","Quand il va à l'école","Quand il est malade","À son baptême","Jamais"
"Quand faut-il déclarer son enfant au service d'état civil ? [GS]","Dans les jours suivant la naissance","Dans le mois","Dans l'année","Avant la naissance","À 18 ans","Quand on veut"
"Quel numéro d'urgence permet d'appeler la police ? [GS]","Le 17","Le 18","Le 15","Le 112","Le 911","Le 01"
"Quel numéro d'urgence permet d'appeler le SAMU ? [GS]","Le 15","Le 17","Le 18","Le 114","Le 911","Le 12"
"Auprès de quelle institution les parents peuvent inscrire leurs enfants à l'école publique ?","La mairie ","La préfecture","Le tribunal","L'église","Le commissariat","La CAF"
"En cas de divorce, qui exerce l'autorité parentale ?","Les parents en commun ","La mère uniquement","Le père uniquement","Le juge","Les grands-parents","L'État"
"Quelle aide permet aux personnes qui ont des difficultés financières d'avoir un avocat ? [GS]","L'aide juridictionnelle","La CAF","Le RSA","La Sécurité sociale","La prime d'activité","Le chèque énergie"
"Qui peut demander le divorce de personnes mariées ? [GS]","Les époux","Les enfants","Les parents","Le maire","Le préfet","Les voisins"
"Auprès de quel organisme faut-il demander le remboursement des frais de santé ?","La sécurité sociale (CPAM) ","La CAF","Le Trésor Public","La Mairie","Le Commissariat","Pôle Emploi"
"La contraception : [GS]","Est autorisée","Est interdite","Est réservée aux personnes mariées","Est réservée aux majeurs","Est payante et très chère","Est illégale"
"Qu'est-ce que le principe de confidentialité dans le domaine de la santé ? [GS]","Le secret médical","Le médecin dit tout à l'employeur","Le médecin publie les dossiers sur internet","Il n'y a pas de secret","Le médecin raconte tout à la police","Le médecin prévient les voisins"
"À quoi sert la carte Vitale ? [GS]","À se faire rembourser les soins","À payer l'autoroute","À retirer de l'argent","À voter","À voyager","À téléphoner"
"À quoi sert une mutuelle santé ? [GS]","À compléter les remboursements de la Sécu","À remplacer la Sécurité sociale","À payer les impôts","À avoir une retraite","À assurer sa voiture","À payer son loyer"
"Qu'est-ce que le tiers payant ? [GS]","Dispense d'avance de frais","Payer 3 fois plus cher","Payer pour 3 personnes","Se faire soigner par 3 médecins","Payer en 3 fois sans frais","Une taxe sur la santé"
"L'inscription à l'Assurance maladie est :","Obligatoire (sécurité sociale) ","Facultative","Réservée aux français","Interdite aux étrangers","Payante à l'entrée","Seulement pour les vieux"
"L'avortement est-il possible en France ?","Oui, autorisé par la loi ","Non, c'est interdit","Oui, mais seulement si le mari est d'accord","Non, sauf en danger de mort","Oui, mais c'est payant et cher","Seulement pour les mineures"
"Travailler sans être déclaré est :","Interdit (travail au noir) ","Autorisé si c'est temporaire","Conseillé pour payer moins d'impôts","Normal en France","Autorisé pour les étudiants","Légal le week-end"
"Qu'est-ce que le SMIC ? [GS]","Le salaire minimum","Le Salaire Maximum","Une aide sociale","Un impôt","Un syndicat","Une prime"
"Quelle est la première démarche à réaliser pour chercher un emploi ? [GS]","S'inscrire comme demandeur d'emploi","Attendre qu'on nous appelle","Aller à la mairie","Payer une agence","Demander au préfet","Aller à l'église"
"Quelle est la durée légale du temps de travail par semaine ? [GS]","35 heures","40 heures","30 heures","50 heures","20 heures","48 heures"
"Qui peut demander un congé parental d'éducation ? [GS]","Les parents salariés","Seulement la mère","Seulement le père","Les grands-parents","L'enfant","Personne"
"Une personne étrangère, en situation régulière, peut créer son entreprise : [GS]","Oui, comme tout citoyen","Non, c'est interdit","Oui, mais avec un associé français","Oui, mais en payant double taxe","Non, sauf si elle est européenne","Oui, après 10 ans de résidence"
"Une femme peut-elle créer son entreprise ?","Oui, librement ","Non, il faut l'accord de son mari","Non, c'est réservé aux hommes","Oui, si elle a des enfants","Non, sauf si elle est veuve","Oui, avec l'accord du maire"
"Quels sont les textes qui définissent les règles au travail ? [GS]","Le code du travail et contrat","Le Code de la route","Le règlement de copropriété","La Bible","Le journal","Le Code pénal uniquement"
"Quelles sont les affaires traitées par le conseil de prud'hommes ? [GS]","Les litiges du travail","Les divorces","Les crimes","Les excès de vitesse","Les impôts","Les problèmes de voisinage"
"Qui a le droit de se syndiquer ?","Chacun peut adhérer librement ","Seulement les patrons","Seulement les fonctionnaires","Personne","Seulement les hommes","Seulement les ouvriers"
"Est-il possible de licencier une femme enceinte ou en congé maternité, en raison de sa grossesse ? [GS]","Non, c'est interdit","Oui, si l'employeur le décide","Oui, si elle est fatiguée","Oui, pour faire des économies","Oui, si elle est d'accord","Oui, après un avertissement"
"L'instruction des enfants est obligatoire de :","3 à 16 ans (Text says 'jusqu'à 16') ","6 ans à 14 ans","6 ans à 18 ans","3 ans à 20 ans","5 ans à 15 ans","4 ans à 12 ans"
"Des parents ne respectent pas l'obligation d'instruction pour leurs enfants. Quelle sanction maximale risquent-ils ? [GS]","Sanctions pénales","Rien du tout","Une médaille","Une réduction d'impôts","L'expulsion du logement","La perte de la nationalité"
"Quelle est la définition de l'autorité parentale ?","Pourvoir à l'éducation et préparer l'avenir ","Le droit de frapper ses enfants","Le devoir de donner de l'argent de poche","Le droit de choisir les amis de l'enfant","Le droit de ne pas s'occuper de l'enfant","L'obligation d'être sévère"
"Quel motif d'absence est accepté par l'école ? [GS]","La maladie","L'envie de dormir","Les courses au supermarché","Un anniversaire","La pluie","Un départ en vacances hors dates"
"Jusqu'à quel âge l'école est-elle obligatoire ?","16 ans ","14 ans","18 ans","12 ans","20 ans","25 ans"
"À quel âge commence l'instruction obligatoire des enfants ? [GS]","3 ans","6 ans","5 ans","4 ans","2 ans","7 ans"
"Comment s'appellent les établissements scolaires que les élèves intègrent après l'école élémentaire ?","Les collèges ","Le lycée","L'université","La crèche","L'école maternelle","Le centre de loisirs"
"En tant que parent d'élève, il est possible de : [GS]","Participer aux élections des représentants","Faire la classe à la place du prof","Décider des notes","Changer les horaires de l'école","Virer le directeur","Choisir les autres élèves"
"Quelle instruction est prévue pour les enfants qui ne parlent pas français ? [GS]","Soutien linguistique adapté","Aucune, ils ne vont pas à l'école","Ils vont dans des écoles payantes","Ils apprennent seuls","Ils sont renvoyés chez eux","Ils attendent de savoir parler"
"S'agissant de l'accueil des enfants en situation de handicap à l'école, laquelle des propositions est vraie ? [GS]","L'école est accessible à tous (inclusion)","Ils sont interdits d'école","Ils doivent rester à l'hôpital","Il n'y a pas de solution","C'est aux parents de payer le prof","Ils ne vont qu'en école spécialisée"
"Depuis le 1er juillet 2021, quelle est la durée du congé paternité ? [GS]","25 jours","3 jours","11 jours","6 mois","1 an","Il n'existe pas"
"Est-ce possible de punir physiquement ses enfants ? [GS]","Non, les violences sont interdites","Oui, c'est recommandé","Oui, si c'est léger","Oui, si l'enfant est difficile","Oui, chez soi uniquement","Oui, le week-end"
